Median Sale Price (in 000's of dollars),Month,Year,City_Bothell,City_Issaquah,City_Kenmore,City_Kent,City_Kirkland,City_Mercer Island,City_Olympia,City_Redmond,City_Sammamish,City_Seattle,City_Snoqualmie,City_Tacoma,Property Type_Condo/Co-op,Property Type_Multi-Family (2-4 Unit),Property Type_Single Family Residential,Property Type_Townhouse
7.149916836132109,6,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6.38856140554563,7,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.565264970035361,7,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.551080335043404,8,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5.480638923341991,9,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.234410725718371,10,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0431599159883405,10,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6.322565239927284,11,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.311734809152915,11,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.652489180268651,2,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.00033446027523,2,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6.543911845564792,3,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6.413458957167357,3,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3561076606958915,4,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.937536205082426,4,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.725033642166843,5,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.616771097666572,8,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.598421958998375,10,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.672032945461067,12,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6.747586526829315,12,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.438383530044307,2,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6.840546529288687,4,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.522092798170152,7,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.75890177387728,8,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.551080335043404,9,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.726847747587197,9,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.696212639346407,12,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5.713732805509369,12,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.383989457978509,1,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6.51471269087253,3,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.529418838262226,3,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
