,Median Sale Price (in 000's of dollars),Month,Year,City_Bothell,City_Issaquah,City_Kenmore,City_Kent,City_Kirkland,City_Mercer Island,City_Olympia,City_Redmond,City_Sammamish,City_Seattle,City_Snoqualmie,City_Tacoma,Property Type_Condo/Co-op,Property Type_Multi-Family (2-4 Unit),Property Type_Single Family Residential,Property Type_Townhouse
244,,10,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
245,,11,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
246,,12,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
247,,1,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
248,,10,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
249,,11,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
250,,12,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
251,,1,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
252,,10,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
253,,11,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
254,,12,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
255,,1,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
256,,10,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
257,,11,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
258,,12,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
259,,1,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
